idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
52,0.280285,0.397314,0.792041,-0.315054,-0.863849,0.393073,-0.951059,0.241102,-0.193281,0.001961,0.219557
53,0.278852,0.397818,0.791940,-0.286819,-0.864606,0.412542,-0.958240,0.208837,-0.195354,0.001522,0.221080
54,0.274401,0.399986,0.787185,-0.259087,-0.857037,0.445377,-0.964990,0.177242,-0.193340,0.006865,0.227944
55,0.270094,0.401881,0.782390,-0.223649,-0.849956,0.477027,-0.970823,0.147929,-0.188733,0.006718,0.234663
56,0.263794,0.403740,0.776151,-0.197703,-0.840791,0.503969,-0.975532,0.121620,-0.183155,0.009059,0.243721
57,0.253771,0.403619,0.769611,-0.175992,-0.829788,0.529602,-0.979938,0.098072,-0.173506,0.011969,0.255690
58,0.244072,0.400604,0.767937,-0.155535,-0.822169,0.547583,-0.984110,0.076816,-0.160085,0.010294,0.265984
59,0.236028,0.397948,0.766560,-0.144890,-0.812584,0.564548,-0.987905,0.056829,-0.144272,0.008582,0.274566
60,0.227774,0.395365,0.765437,-0.130004,-0.801079,0.584271,-0.991211,0.038446,-0.126583,0.008722,0.283288
61,0.223746,0.395123,0.765775,-0.114144,-0.787420,0.605756,-0.993887,0.022509,-0.108084,0.004049,0.287337
62,0.219767,0.395133,0.766260,-0.097168,-0.771029,0.629343,-0.995926,0.008881,-0.089739,0.004009,0.291346
63,0.215939,0.395267,0.766787,-0.079088,-0.754350,0.651691,-0.997438,-0.003173,-0.071471,0.003867,0.295213
64,0.212577,0.395391,0.767162,-0.051855,-0.739111,0.671584,-0.998484,-0.013558,-0.053345,0.003384,0.298597
65,0.208745,0.395750,0.767952,-0.021334,-0.726845,0.686470,-0.999097,-0.022712,-0.035898,0.003929,0.302526
66,0.205509,0.396119,0.768720,0.026070,-0.711482,0.702220,-0.999339,-0.031109,-0.018819,0.003347,0.305873
67,0.201531,0.396456,0.769002,0.050160,-0.705694,0.706739,-0.999248,-0.038726,-0.001823,0.004002,0.309875
68,0.197653,0.396725,0.769463,0.069990,-0.706592,0.704151,-0.998896,-0.045535,0.011518,0.003914,0.313789
69,0.194160,0.397009,0.769535,0.070978,-0.703214,0.707426,-0.998442,-0.051738,0.020904,0.003505,0.317295
70,0.189798,0.396900,0.769150,0.077699,-0.700564,0.709347,-0.997985,-0.057034,0.027792,0.004381,0.321675
71,0.185007,0.396612,0.768943,0.075412,-0.704119,0.706066,-0.997538,-0.061917,0.032929,0.004803,0.326479
72,0.179117,0.396055,0.768067,0.083716,-0.707404,0.701834,-0.997032,-0.069261,0.033614,0.005981,0.332460
73,0.173234,0.395179,0.767567,0.096128,-0.709526,0.698092,-0.996385,-0.078952,0.031363,0.005969,0.338429
74,0.168559,0.394611,0.767301,0.105868,-0.711772,0.694386,-0.995607,-0.089688,0.026875,0.004716,0.343145
75,0.164150,0.394143,0.766984,0.116398,-0.714440,0.689947,-0.994587,-0.101628,0.021632,0.004445,0.347590
76,0.158574,0.392464,0.767128,0.126192,-0.717033,0.685521,-0.993290,-0.114458,0.016585,0.005826,0.353416
77,0.153703,0.391388,0.767603,0.137045,-0.717143,0.683319,-0.991536,-0.129523,0.008918,0.005011,0.358427
78,0.148839,0.391192,0.767607,0.142213,-0.717412,0.681979,-0.988147,-0.153425,-0.005180,0.004868,0.363295
