2025-11-27 22:06:40,125 INFO  ExportHelper.cs: 187 - Saving existing STL preferences
2025-11-27 22:06:40,125 INFO  ExportHelper.cs: 450 - Saving users preferences
2025-11-27 22:06:40,126 INFO  ExportHelper.cs: 190 - Modifying STL preferences
2025-11-27 22:06:40,126 INFO  ExportHelper.cs: 464 - Setting STL preferences
2025-11-27 22:06:40,167 INFO  ExportHelper.cs: 196 - Found 0 hidden components 
2025-11-27 22:06:40,168 INFO  ExportHelper.cs: 197 - Hiding all components
2025-11-27 22:06:40,178 INFO  ExportHelper.cs: 204 - Beginning individual files export
2025-11-27 22:06:40,180 INFO  ExportHelper.cs: 270 - Exporting link: jk_se_vi_200_link
2025-11-27 22:06:40,180 INFO  ExportHelper.cs: 272 - Link jk_se_vi_200_link has 0 children
2025-11-27 22:06:40,181 INFO  ExportHelper.cs: 317 - jk_se_vi_200_link: Exporting STL with coordinate frame 坐标系2 <JK-SE-VI-200.stp-1>
2025-11-27 22:06:40,181 INFO  ExportHelper.cs: 322 - jk_se_vi_200_link: Reference geometry name JK-SE-VI-200.stp-1
2025-11-27 22:06:40,194 INFO  ExportHelper.cs: 330 - Saving STL to C:\Users\49075\Desktop\jaka\JK-SE-VI-200\meshes\jk_se_vi_200_link.STL
2025-11-27 22:06:40,203 INFO  ExportHelper.cs: 405 - Removing SW header in STL file
2025-11-27 22:06:40,204 WARN  ExportHelper.cs: 408 - Correcting the STL C:\Users\49075\Desktop\jaka\JK-SE-VI-200\meshes\jk_se_vi_200_link.STL failed. This STL may not be readable by ROS or other CAD programs
System.IO.IOException: 文件“C:\Users\49075\Desktop\jaka\JK-SE-VI-200\meshes\jk_se_vi_200_link.STL”正由另一进程使用，因此该进程无法访问此文件。
   在 System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   在 System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   在 System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share)
   在 SW2URDF.URDFExport.ExportHelper.CorrectSTLMesh(String filename) 位置 C:\Users\Stephen Brawner\workspace\solidworks_urdf_exporter\SW2URDF\URDFExport\ExportHelper.cs:行号 408
2025-11-27 22:06:40,206 WARN  ExportHelper.cs: 343 - There was an issue exporting the STL for jk_se_vi_200_link. It may not be readable by CAD programs that aren't SolidWorks
2025-11-27 22:06:40,207 INFO  ExportHelper.cs: 145 - Showing all components except previously hidden components
2025-11-27 22:06:40,245 INFO  ExportHelper.cs: 145 - Resetting STL preferences
2025-11-27 22:06:40,246 INFO  ExportHelper.cs: 478 - Returning STL preferences to user preferences
2025-11-27 22:06:40,246 INFO  ExportHelper.cs: 228 - Writing URDF file to C:\Users\49075\Desktop\jaka\JK-SE-VI-200\urdf\JK-SE-VI-200.urdf
2025-11-27 22:06:40,249 INFO  CSVImportExport.cs: 32 - Writing CSV file C:\Users\49075\Desktop\jaka\JK-SE-VI-200\urdf\JK-SE-VI-200.csv
2025-11-27 22:06:40,260 ERROR CSVImportExport.cs: 130 - The following columns were not written to the CSV: Link.Joint.ChildLink.link,
2025-11-27 22:06:40,260 INFO  ExportHelper.cs: 234 - Copying log file
2025-11-27 22:06:40,264 INFO  ExportHelper.cs: 439 - Copying C:\Users\49075\sw2urdf_logs\sw2urdf.log to C:\Users\49075\Desktop\jaka\JK-SE-VI-200\export.log
