idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
51,-0.177197,0.321241,0.723135,-0.016574,-0.908521,0.417510,0.926994,-0.150478,-0.343566,0.004002,0.203165
52,-0.172894,0.321789,0.723163,-0.016366,-0.914487,0.404284,0.959492,-0.115359,-0.257036,0.004338,0.207503
53,-0.168627,0.322307,0.723082,-0.021820,-0.921104,0.388705,0.977380,-0.089909,-0.191427,0.004299,0.211802
54,-0.164564,0.322752,0.722752,-0.024504,-0.927526,0.372956,0.987037,-0.072334,-0.143269,0.004100,0.215902
55,-0.160156,0.323027,0.722404,-0.027183,-0.933677,0.357083,0.992311,-0.061133,-0.107622,0.004430,0.220333
56,-0.155733,0.322501,0.722108,-0.032146,-0.940436,0.338446,0.995209,-0.054727,-0.081014,0.004464,0.224797
57,-0.151414,0.322529,0.721683,-0.038602,-0.946759,0.319622,0.996763,-0.052277,-0.061086,0.004340,0.229136
58,-0.146840,0.322532,0.720930,-0.043437,-0.953287,0.298926,0.997480,-0.053495,-0.046597,0.004636,0.233772
59,-0.142557,0.322152,0.720616,-0.048244,-0.959337,0.278109,0.997639,-0.057790,-0.037113,0.004311,0.238084
60,-0.138245,0.321660,0.720434,-0.054647,-0.964562,0.258136,0.997321,-0.065394,-0.032790,0.004344,0.242428
61,-0.133904,0.321157,0.720674,-0.064170,-0.969142,0.238005,0.996670,-0.075416,-0.031019,0.004377,0.246804
62,-0.129533,0.320676,0.720807,-0.080399,-0.970484,0.227371,0.995803,-0.086475,-0.029984,0.004400,0.251204
63,-0.125323,0.320172,0.720904,-0.096576,-0.971457,0.216665,0.994799,-0.097602,-0.029144,0.004241,0.255445
64,-0.121153,0.319737,0.720986,-0.104246,-0.972962,0.206102,0.993767,-0.107768,-0.028526,0.004193,0.259638
65,-0.116979,0.319470,0.721008,-0.121899,-0.970936,0.205972,0.992853,-0.115931,-0.028328,0.004183,0.263821
66,-0.112786,0.319066,0.720933,-0.121493,-0.970927,0.206252,0.992187,-0.121472,-0.028456,0.004213,0.268034
67,-0.108620,0.318455,0.720845,-0.113909,-0.971218,0.209192,0.991838,-0.124168,-0.028989,0.004211,0.272245
68,-0.104420,0.317848,0.720719,-0.114420,-0.972623,0.202268,0.991834,-0.123914,-0.030185,0.004246,0.276491
69,-0.100233,0.317247,0.720550,-0.107234,-0.977464,0.181835,0.992182,-0.120597,-0.032116,0.004233,0.280724
70,-0.096118,0.316523,0.720367,-0.101629,-0.979452,0.174201,0.992811,-0.114554,-0.034686,0.004182,0.284906
71,-0.092028,0.315705,0.720160,-0.085391,-0.982226,0.167155,0.993647,-0.105945,-0.037975,0.004177,0.289083
72,-0.087969,0.314766,0.719978,-0.068206,-0.984928,0.158951,0.994612,-0.094691,-0.042201,0.004170,0.293252
73,-0.083866,0.313805,0.719808,-0.053936,-0.985433,0.161284,0.995556,-0.081542,-0.047110,0.004218,0.297470
74,-0.079654,0.312894,0.719664,-0.037384,-0.986179,0.161412,0.996374,-0.067183,-0.052202,0.004312,0.301782
75,-0.075447,0.312019,0.719534,-0.027842,-0.986483,0.161481,0.997029,-0.051567,-0.057217,0.004298,0.306080
76,-0.071039,0.311483,0.719283,-0.016516,-0.986431,0.163342,0.997471,-0.034825,-0.061963,0.004448,0.310528
77,-0.066634,0.310981,0.719159,-0.010010,-0.985718,0.168106,0.997640,-0.017132,-0.066488,0.004436,0.314964
78,-0.062228,0.311156,0.718884,0.003409,-0.983765,0.179431,0.997489,0.001603,-0.070804,0.004418,0.319382
79,-0.057784,0.311823,0.718443,0.021093,-0.981952,0.187950,0.996996,0.020648,-0.074646,0.004515,0.323897
80,-0.053525,0.312492,0.718095,0.038359,-0.979770,0.196418,0.996176,0.039243,-0.078057,0.004325,0.328222
81,-0.049242,0.313063,0.717686,0.060336,-0.977533,0.201963,0.995036,0.057503,-0.081226,0.004340,0.332562
82,-0.045092,0.313975,0.717186,0.072822,-0.975782,0.206270,0.993617,0.075257,-0.084031,0.004278,0.336841
83,-0.041002,0.314759,0.716787,0.086696,-0.974083,0.208916,0.991993,0.092059,-0.086461,0.004184,0.341025
84,-0.036829,0.315581,0.716300,0.112512,-0.971871,0.206899,0.990189,0.107911,-0.088771,0.004281,0.345305
85,-0.032693,0.316192,0.715843,0.137475,-0.968830,0.206079,0.988236,0.122642,-0.091369,0.004206,0.349511
86,-0.028579,0.316725,0.715396,0.156711,-0.966464,0.203443,0.986264,0.135388,-0.094621,0.004173,0.353684
87,-0.024373,0.316797,0.715061,0.171883,-0.964247,0.201700,0.984418,0.145431,-0.098850,0.004220,0.357904
88,-0.020185,0.316894,0.714825,0.177964,-0.963964,0.197745,0.982756,0.152539,-0.104510,0.004196,0.362100
89,-0.015961,0.317612,0.714333,0.184240,-0.963547,0.193993,0.981259,0.156667,-0.112191,0.004313,0.366412
90,-0.011825,0.318471,0.713831,0.179874,-0.964003,0.195816,0.979675,0.158648,-0.122754,0.004254,0.370666
91,-0.007852,0.319431,0.713378,0.183959,-0.964437,0.189789,0.977706,0.159280,-0.136823,0.004112,0.374778
92,-0.003843,0.320445,0.712964,0.177282,-0.966869,0.183674,0.975324,0.157864,-0.154343,0.004157,0.378934
93,0.000273,0.320692,0.712724,0.170965,-0.968361,0.181789,0.972380,0.154114,-0.175291,0.004130,0.383064
94,0.004521,0.321137,0.712387,0.167186,-0.969344,0.180056,0.968535,0.148476,-0.199738,0.004284,0.387349
95,0.008488,0.322501,0.711967,0.161165,-0.970273,0.180544,0.963490,0.141090,-0.227554,0.004216,0.391565
96,0.012411,0.323770,0.711550,0.159857,-0.970839,0.178653,0.956826,0.132779,-0.258560,0.004144,0.395709
97,0.016526,0.324651,0.711170,0.156782,-0.972000,0.175027,0.948233,0.124282,-0.292246,0.004226,0.399935
98,0.020602,0.325471,0.710554,0.162126,-0.971818,0.171128,0.937696,0.115021,-0.327866,0.004203,0.404138
99,0.024484,0.326081,0.709678,0.161164,-0.973954,0.159495,0.925761,0.104682,-0.363330,0.004026,0.408164
100,0.028073,0.326570,0.708475,0.155840,-0.976157,0.151102,0.912927,0.093688,-0.397224,0.003817,0.411981
101,0.031422,0.326777,0.707039,0.150457,-0.978322,0.142296,0.899186,0.081972,-0.429820,0.003650,0.415630
102,0.034451,0.326912,0.705329,0.142973,-0.980221,0.136839,0.884485,0.069322,-0.461390,0.003481,0.419111
103,0.037199,0.326832,0.703398,0.143635,-0.980542,0.133812,0.870302,0.056535,-0.489263,0.003359,0.422471
104,0.039581,0.326646,0.701208,0.142623,-0.981094,0.130818,0.857246,0.044305,-0.512997,0.003241,0.425712
105,0.041925,0.326427,0.698868,0.129749,-0.982642,0.132589,0.844904,0.032508,-0.533930,0.003319,0.429031
106,0.044338,0.326255,0.696455,0.116062,-0.984138,0.134169,0.834251,0.021483,-0.550966,0.003416,0.432447
107,0.046784,0.326165,0.694009,0.106459,-0.984610,0.138597,0.827302,0.011280,-0.561645,0.003461,0.435908
108,0.049321,0.326073,0.691471,0.099791,-0.985309,0.138592,0.824660,0.001580,-0.565626,0.003590,0.439498
109,0.053462,0.326014,0.687331,0.089061,-0.985708,0.142997,0.826425,-0.006904,-0.563005,0.005856,0.445354
