qx,qy,qz,qw,fx,fy,fz,tx,ty,tz
-0.40061171644154875,0.8305011625966982,-0.12059281066574484,-0.36774372270784556,-2.63360078246187,-2.568146667530846,7.2850468523633305,0.09999749739034273,-0.20000125119021026,-6.16594434982475e-06
-0.39703477245441915,0.8287332376868767,-0.11743184861100987,-0.37652937620708343,-2.3551528038963445,-2.69055623710748,7.12916595982935,0.16076711990526799,-0.20004195125000127,-9.701017562319078e-05
-0.3929630024024983,0.8289996856404803,-0.11018462909934111,-0.3823597095158426,-2.3380756621170473,-2.7058235918034144,7.096956724624703,0.16099874466212233,-0.20104432036492334,-0.000110755216107929
-0.3891752204181953,0.8274591884049834,-0.1052322279916285,-0.3908709729930496,-2.0538694421478705,-2.7148494012997886,6.948410044313718,0.18128000571527672,-0.13365695897698818,-8.71994883682828e-05
-0.3854781610701242,0.8254726120224789,-0.10193202158908336,-0.3995139761179125,-1.9581364603381761,-2.800535374505785,6.837747439073524,0.1857006336033811,-0.1036071251650309,-0.00012385956034326585
-0.38190176396858017,0.8232550965721348,-0.0984873068137921,-0.4082919776854033,-1.7762246215574258,-2.783436028912948,6.684761977209358,0.20054665358048468,-0.10007479646483768,0.003357791557514611
-0.3779088414010624,0.8219155960106056,-0.09324469437751956,-0.41586667045566494,-1.569419352288534,-2.8483123594434256,6.61131874006319,0.19998385234396407,-0.10004815133215791,0.06458391212857183
-0.37366582320259123,0.8228926564380642,-0.08486421957849194,-0.41954688985376776,-1.4744002480794944,-2.9495336218931185,6.545500940183149,0.1999975270324767,-0.0778199734368765,0.09989110515911881
-0.36920400033627143,0.8236999920560105,-0.07637571430139123,-0.42352506358841974,-1.3591811898912436,-3.1208099194498553,6.507271091453054,0.19998077499082614,-0.0952199330405151,0.09992075518053066
-0.36472030893128826,0.824478534778875,-0.067744094432116,-0.4273464398020859,-1.1067078117773832,-3.287794616005408,6.4913584801360305,0.22512026193376067,-0.043028232660583775,0.09993446038629838
-0.3602818031784089,0.8250564886231575,-0.059210730939445164,-0.43124575617732924,-1.0470228784544235,-3.4450645456083406,6.380823904261724,0.22762055862291808,-0.0001698769242283746,0.09993785946338145
-0.35595182990182134,0.8264835525399636,-0.0501366718009646,-0.43325459756497514,-0.9672581050601209,-3.5877521858038643,6.442982285411474,0.27074055323536517,-0.0001397554593989634,0.099942629767429
-0.351444893863135,0.8274863619385164,-0.040936313527470555,-0.43597823984468415,-0.8253571585521593,-3.747359272674219,6.335683529698556,0.29997400242368466,-0.000330151394498558,0.10010145781852266
-0.3483082735119021,0.8309935614997416,-0.032356425845365404,-0.43253220580165674,-0.7306847550197553,-3.961516847112671,6.436723248090262,0.30095675868661337,-0.00027137721327793817,0.10004074929761865
-0.3452476595252333,0.8343900094647679,-0.023622081867065065,-0.4289980920074107,-0.7042857092593301,-4.20201778240559,6.583169714373154,0.3000067603750629,-0.00022232522216061182,0.09997946939624199
-0.3416318034261135,0.83739343989666,-0.014400853552340331,-0.4264417347338604,-0.7532554311576627,-4.42272844388475,6.571971787117158,0.3490068642846764,-0.0001997794526403501,0.10012389385014984
-0.33829027437948933,0.8402639943677697,-0.005390743759854456,-0.42365911994324656,-0.6129320611054863,-4.5857807578083625,6.640241182743114,0.33597949380975184,0.011815772883828266,0.0998007403988076
-0.333823737711561,0.8403466427485576,0.003498612092872273,-0.4270444846557964,-0.5272544448710439,-4.78340823540481,6.62437773502674,0.38169864426957506,0.0020516501326877977,0.09981349550097546
-0.32932645154262546,0.8402099982393064,0.012376809616742524,-0.4306251987015604,-0.37544499244490015,-5.02008219378901,6.524986626050717,0.40005036035483,0.02483353892339648,0.09985624300921882
-0.3247489792505152,0.8400153421813387,0.021138769070332592,-0.4341261081965792,-0.22861221413484006,-5.083282353286767,6.422740563140229,0.40008802330894816,0.0749306779840145,0.09985517968455077
-0.3200031658828639,0.8411510360748864,0.03077672323687995,-0.43487435155673415,-0.1833660884971693,-5.239266639571846,6.413136517008082,0.4000259916619202,0.06875385293873774,0.10020581160148867
-0.31644907354260365,0.8441453220706758,0.039329007385275803,-0.43096622635458526,-0.17669763583676537,-5.547693770735667,6.429069737773113,0.44971508750628414,0.06356005336267072,0.10010614389656584
-0.31293641409046163,0.8469010046691213,0.04754454243140255,-0.42728094447520687,-0.1745016648898089,-5.7383339316316775,6.467769533582319,0.5002344476785826,0.08333259252202371,0.10018831401737553
-0.30920597737864863,0.8491834096387445,0.05633689623937917,-0.42438821198254845,-0.13315440067410894,-5.910764327450305,6.592184336595307,0.5000859092281771,0.09957614938607849,0.09999672151930523
-0.3054805988764375,0.8515404859067935,0.0648679296929815,-0.42113246878988253,-0.11698440332008583,-6.176971875524611,6.493044726499686,0.5120515835229845,0.09953594342934984,0.10021800467073935
-0.30156154228638593,0.8542972069783087,0.07381193256842572,-0.4168797392215542,-0.15223483576566613,-6.292004418118717,6.663122955731624,0.5308424707866372,0.09960859128947651,0.10013558918120047
