idx,x,y,z,nx,ny,nz,seg_len,cumulative_len
72,0.103192,0.318725,0.638382,-0.007779,-0.930639,0.365855,0.004061,0.263120
73,0.102943,0.317542,0.634457,-0.008014,-0.958715,0.284256,0.004107,0.267227
74,0.102767,0.316457,0.630439,0.024782,-0.966932,0.253828,0.004166,0.271393
75,0.102630,0.315514,0.626090,0.025221,-0.984080,0.175927,0.004452,0.275844
76,0.102389,0.314789,0.621747,0.040045,-0.986059,0.161507,0.004410,0.280254
77,0.102100,0.314349,0.617259,0.119334,-0.984840,0.125894,0.004518,0.284773
78,0.101803,0.314155,0.612766,0.168723,-0.975901,-0.138385,0.004508,0.289280
79,0.101504,0.314147,0.608364,0.041976,-0.998525,-0.034429,0.004412,0.293692
80,0.101277,0.314306,0.603873,-0.012243,-0.985986,-0.166376,0.004500,0.298192
81,0.100955,0.314729,0.599394,-0.002220,-0.987657,-0.156615,0.004510,0.302702
82,0.100610,0.315378,0.595152,-0.002243,-0.997788,-0.066436,0.004305,0.307007
83,0.100320,0.316166,0.590890,0.135164,-0.970028,-0.201933,0.004344,0.311352
84,0.100047,0.317022,0.586792,0.133497,-0.958061,-0.253570,0.004195,0.315547
85,0.099736,0.317940,0.582713,0.241958,-0.902963,-0.355125,0.004193,0.319740
86,0.099410,0.318944,0.578600,0.179688,-0.932257,-0.314021,0.004246,0.323986
87,0.098971,0.319956,0.574510,0.179688,-0.932257,-0.314021,0.004236,0.328222
88,0.098546,0.320857,0.570421,0.182569,-0.947204,-0.263579,0.004209,0.332431
89,0.098100,0.321618,0.566329,0.143044,-0.955555,-0.257785,0.004185,0.336616
90,0.097728,0.322266,0.562202,0.186253,-0.980607,-0.060992,0.004194,0.340811
91,0.097380,0.322819,0.558035,0.186253,-0.980607,-0.060992,0.004218,0.345028
92,0.096673,0.323202,0.554203,0.186218,-0.980423,-0.063982,0.003916,0.348944
93,0.095493,0.323416,0.550826,0.125175,-0.984106,-0.125965,0.003584,0.352528
94,0.093785,0.323592,0.548010,0.124936,-0.982230,-0.140057,0.003298,0.355826
95,0.091605,0.323774,0.545698,0.093261,-0.980787,-0.171344,0.003183,0.359009
96,0.088885,0.324038,0.543865,-0.035528,-0.984459,-0.171985,0.003290,0.362299
97,0.085613,0.324361,0.542529,-0.035528,-0.984459,-0.171985,0.003549,0.365848
98,0.081826,0.324722,0.541690,-0.236525,-0.956436,-0.171133,0.003896,0.369744
99,0.077876,0.325212,0.540950,-0.150426,-0.985125,-0.083072,0.004048,0.373792
100,0.074049,0.325716,0.540624,-0.103058,-0.982656,-0.154163,0.003875,0.377666
101,0.070991,0.326041,0.541041,-0.173556,-0.981341,-0.082753,0.003103,0.380769
102,0.068463,0.326197,0.542074,-0.173556,-0.981341,-0.082753,0.002736,0.383505
103,0.066539,0.326143,0.543803,-0.006858,-0.969176,-0.246273,0.002587,0.386092
104,0.065123,0.325854,0.546268,-0.203688,-0.948880,-0.241116,0.002858,0.388949
105,0.064298,0.325287,0.549384,-0.207267,-0.965553,-0.157315,0.003273,0.392223
106,0.064105,0.324457,0.553149,-0.207267,-0.965553,-0.157315,0.003860,0.396083
107,0.064363,0.323557,0.557214,-0.084414,-0.957128,-0.277091,0.004172,0.400254
108,0.064468,0.322707,0.561220,-0.084414,-0.957128,-0.277091,0.004096,0.404350
109,0.064591,0.321930,0.565316,-0.137546,-0.986587,-0.087908,0.004171,0.408522
110,0.064719,0.321192,0.569440,-0.213220,-0.966213,-0.144810,0.004191,0.412712
111,0.064939,0.320548,0.573508,-0.215269,-0.975497,-0.045439,0.004125,0.416837
112,0.065162,0.320026,0.577621,-0.261112,-0.961107,-0.089969,0.004152,0.420990
113,0.065381,0.319613,0.581819,-0.268655,-0.961712,-0.054166,0.004224,0.425214
114,0.065585,0.319234,0.586013,-0.268655,-0.961712,-0.054166,0.004215,0.429429
115,0.065793,0.318873,0.590223,-0.270563,-0.961440,-0.049290,0.004231,0.433660
116,0.066012,0.318499,0.594418,-0.211169,-0.976168,-0.050045,0.004217,0.437877
117,0.066232,0.318098,0.598606,-0.206298,-0.972671,-0.106545,0.004213,0.442090
118,0.066484,0.317666,0.602795,-0.206298,-0.972671,-0.106545,0.004219,0.446309
119,0.066741,0.317201,0.606977,-0.156244,-0.978362,-0.135630,0.004216,0.450525
120,0.067023,0.316782,0.611270,-0.156244,-0.978362,-0.135630,0.004322,0.454847
121,0.067316,0.316463,0.615569,-0.087148,-0.989115,-0.118558,0.004320,0.459168
122,0.067631,0.316376,0.619920,-0.087148,-0.989115,-0.118558,0.004363,0.463531
123,0.067945,0.316507,0.624235,-0.046670,-0.994795,0.090578,0.004329,0.467860
124,0.068289,0.316886,0.628520,-0.046670,-0.994795,0.090578,0.004316,0.472175
125,0.068609,0.317455,0.632787,-0.044898,-0.957036,0.286471,0.004316,0.476491
126,0.068921,0.318241,0.636990,-0.097761,-0.966598,0.236919,0.004287,0.480779
127,0.069195,0.319195,0.641030,-0.096310,-0.952245,0.289747,0.004160,0.484939
128,0.069456,0.320253,0.645095,0.009219,-0.981702,0.190202,0.004209,0.489148
129,0.069672,0.321284,0.649058,0.049572,-0.944406,0.325024,0.004100,0.493248
130,0.069875,0.322294,0.653112,0.063390,-0.947689,0.312837,0.004183,0.497431
131,0.070065,0.323253,0.657173,0.065275,-0.975856,0.208432,0.004177,0.501608
132,0.070193,0.324175,0.661241,0.100475,-0.965048,0.242046,0.004173,0.505781
133,0.070315,0.325066,0.665355,0.102090,-0.980565,0.167543,0.004212,0.509993
134,0.070449,0.325803,0.668997,0.086933,-0.979379,0.182374,0.003718,0.513711
135,0.069838,0.326476,0.673141,0.087675,-0.987736,0.129193,0.004243,0.517954
136,0.069224,0.327018,0.676764,0.141877,-0.972865,0.182771,0.003714,0.521668
137,0.068584,0.327436,0.679742,0.141877,-0.972865,0.182771,0.003074,0.524742
138,0.067900,0.327745,0.682148,0.124113,-0.977542,0.170314,0.002521,0.527263
139,0.066085,0.328118,0.685117,0.124113,-0.977542,0.170314,0.003499,0.530762
140,0.064251,0.328378,0.687506,0.119346,-0.977307,0.175010,0.003023,0.533785
141,0.062381,0.328618,0.689816,0.119346,-0.977307,0.175010,0.002983,0.536767
142,0.061225,0.328766,0.690997,0.109366,-0.965198,0.237554,0.001659,0.538426
143,0.060070,0.328909,0.692153,0.109366,-0.965198,0.237554,0.001640,0.540066
144,0.056605,0.329093,0.695092,0.014885,-0.945600,0.324991,0.004548,0.544614
145,0.053094,0.329277,0.698080,0.014885,-0.945600,0.324991,0.004614,0.549228
146,0.050054,0.329317,0.700866,0.014885,-0.945600,0.324991,0.004123,0.553352
147,0.046782,0.329358,0.704105,0.170592,-0.964543,0.201382,0.004604,0.557956
148,0.043395,0.329399,0.707571,0.186805,-0.967056,0.172937,0.004846,0.562802
149,0.040008,0.329439,0.711036,0.186805,-0.967056,0.172937,0.004846,0.567648
150,0.036766,0.329480,0.714216,0.225097,-0.967543,0.114855,0.004541,0.572188
151,0.036073,0.329480,0.715147,0.225097,-0.967543,0.114855,0.001161,0.573350
152,0.035571,0.329427,0.715394,0.225097,-0.967543,0.114855,0.000562,0.573911
153,0.035759,0.329262,0.714060,0.225097,-0.967543,0.114855,0.001357,0.575268
154,0.036164,0.328955,0.711655,0.225097,-0.967543,0.114855,0.002459,0.577727
155,0.036625,0.328517,0.708493,0.224025,-0.962936,0.150221,0.003225,0.580952
156,0.037084,0.327903,0.704658,0.186805,-0.967056,0.172937,0.003911,0.584863
157,0.037376,0.327123,0.700572,0.169434,-0.957996,0.231378,0.004170,0.589033
158,0.037419,0.326224,0.696456,0.205022,-0.958898,0.196167,0.004213,0.593246
159,0.037313,0.325265,0.692380,0.200058,-0.935680,0.290655,0.004189,0.597435
160,0.037184,0.324332,0.688387,0.220043,-0.936988,0.271357,0.004103,0.601538
161,0.037054,0.323480,0.684421,0.225209,-0.958987,0.172120,0.004058,0.605596
162,0.036948,0.322734,0.680441,0.209228,-0.959147,0.190422,0.004051,0.609647
163,0.036849,0.322173,0.676501,0.204937,-0.973028,0.105907,0.003980,0.613627
164,0.036732,0.321775,0.672498,0.179418,-0.979903,0.087171,0.004024,0.617652
165,0.036552,0.321478,0.668365,0.179803,-0.982008,-0.057720,0.004148,0.621800
166,0.036335,0.321305,0.664272,0.066413,-0.997766,0.007218,0.004102,0.625902
167,0.036155,0.321248,0.660084,0.066413,-0.997762,-0.007784,0.004192,0.630094
168,0.036003,0.321173,0.655767,0.158370,-0.986398,0.044032,0.004321,0.634415
169,0.035811,0.320926,0.651454,0.157892,-0.983421,-0.089180,0.004324,0.638739
170,0.035555,0.320544,0.647218,0.000000,-1.000000,-0.000000,0.004261,0.643000
171,0.035293,0.320023,0.643012,-0.152888,-0.931713,0.329448,0.004246,0.647246
172,0.035065,0.319540,0.638776,-0.129600,-0.923162,0.361905,0.004270,0.651516
173,0.034840,0.319103,0.634495,-0.041831,-0.969000,0.243493,0.004309,0.655825
174,0.034564,0.318825,0.630291,-0.041831,-0.969000,0.243493,0.004222,0.660047
175,0.034247,0.318814,0.626265,-0.042940,-0.994702,-0.093400,0.004038,0.664085
176,0.033985,0.319098,0.622113,-0.059632,-0.995263,-0.076785,0.004169,0.668255
177,0.033747,0.319571,0.617952,-0.056553,-0.943868,-0.325446,0.004196,0.672450
178,0.033529,0.320331,0.613833,-0.056553,-0.943868,-0.325446,0.004194,0.676644
179,0.033240,0.321230,0.609741,-0.076857,-0.987405,-0.138292,0.004199,0.680843
180,0.032991,0.322182,0.605649,-0.095995,-0.989972,-0.103639,0.004209,0.685052
181,0.032734,0.323039,0.601565,-0.093182,-0.960959,-0.260527,0.004181,0.689233
182,0.032615,0.323820,0.597391,0.017738,-0.976841,-0.213230,0.004248,0.693481
183,0.032492,0.324604,0.593275,-0.032532,-0.985798,-0.164753,0.004191,0.697673
184,0.032378,0.325415,0.589132,-0.031622,-0.958232,-0.284238,0.004223,0.701896
185,0.032082,0.326141,0.584771,-0.166358,-0.973862,-0.154656,0.004431,0.706327
186,0.031874,0.326720,0.580415,-0.166710,-0.975925,-0.140633,0.004399,0.710726
187,0.031625,0.327213,0.576109,-0.166710,-0.975925,-0.140633,0.004342,0.715068
188,0.031374,0.327648,0.571753,-0.032898,-0.999014,-0.029805,0.004385,0.719453
189,0.030975,0.327986,0.567764,-0.046143,-0.998798,-0.016547,0.004023,0.723476
190,0.030560,0.328228,0.564382,-0.046073,-0.997274,-0.057629,0.003415,0.726891
